StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
807629,29,20001689,2,2021,Damian Jones,PHO,C,0,4,52.50,57,27,5.00,7.00,71.4,5.00,7.00,71.4,0.00,0.00,0,3.00,3.00,100,4.00,16.00,20.00,5.00,2.00,3.00,2.00,13.00,13.00,57.50,54.50,-13.00,0.00,0.00
807630,18,20001922,2,2021,Antonius Cleveland,OKC,SG,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
807631,29,20001990,2,2021,Deandre Ayton,PHO,C,4,4,111.10,98,9,21.00,37.00,56.8,21.00,35.00,60.0,0.00,2.00,0,6.00,7.00,85.7,7.00,31.00,38.00,7.00,5.00,2.00,7.00,11.00,48.00,118.10,118.00,-3.00,1.00,0.00
807632,2,20002003,2,2021,Miles Bridges,CHA,SF,0,4,94.70,82,53,19.00,31.00,61.3,15.00,20.00,75.0,4.00,11.00,36.4,1.00,1.00,100,4.00,27.00,31.00,9.00,1.00,3.00,7.00,5.00,43.00,98.70,103.25,9.00,1.00,0.00
807633,24,20002021,2,2021,Khyri Thomas,SA,SG,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
807634,13,20002340,2,2021,Jalen Lecque,IND,PG,0,2,17.10,21,33,4.00,10.00,40.0,3.00,5.00,60.0,1.00,5.00,20.0,0.00,3.00,0,1.00,2.00,3.00,1.00,0.00,2.00,1.00,4.00,9.00,19.10,18.25,-7.00,0.00,0.00
807635,2,20002557,2,2021,Vernon Carey Jr.,CHA,C,0,2,5.70,6,15,1.00,2.00,50.0,1.00,2.00,50.0,0.00,0.00,0,1.00,2.00,50.0,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,3.00,5.70,5.75,-1.00,0.00,0.00
807636,21,20002607,2,2021,Jahlil Tripp,MEM,SF,0,2,9.40,7,9,1.00,1.00,100,1.00,1.00,100,0.00,0.00,0,4.00,4.00,100,1.00,1.00,2.00,0.00,1.00,0.00,1.00,1.00,6.00,10.40,10.00,-3.00,0.00,0.00
807637,15,20002625,2,2021,Mamadi Diakite,MIL,PF,0,2,4.40,6,31,1.00,2.00,50.0,1.00,1.00,100,0.00,1.00,0,0.00,0.00,0,1.00,1.00,2.00,0.00,0.00,0.00,0.00,2.00,2.00,4.40,4.50,-1.00,0.00,0.00
807638,17,20000834,2,2021,Derrick Favors,UTA,PF,0,3,44.20,41,55,8.00,12.00,66.7,8.00,12.00,66.7,0.00,0.00,0,2.00,3.00,66.7,7.00,4.00,11.00,6.00,2.00,1.00,2.00,5.00,18.00,47.20,45.75,0.00,0.00,0.00
807639,15,20001420,2,2021,Bobby Portis,MIL,PF,1,3,57.30,60,55,13.00,27.00,48.1,13.00,23.00,56.5,0.00,4.00,0,6.00,9.00,66.7,2.00,17.00,19.00,3.00,0.00,1.00,4.00,7.00,32.00,58.30,61.75,-16.00,1.00,0.00
807640,15,20001470,2,2021,Treveon Graham,MIL,SF,0,1,-2.00,3,17,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,-2.00,-1.00,-7.00,0.00,0.00
807641,24,20001856,2,2021,Derrick White,SA,PG,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
