QuarterID,GameID,Number,Name,AwayScore,HomeScore
160210,18799,1,1,36,22
160211,18799,2,2,23,26
160212,18799,3,3,23,28
160213,18799,4,4,19,25
160214,18800,1,1,27,32
160215,18800,2,2,24,26
160216,18800,3,3,36,33
160217,18800,4,4,32,22
160218,18799,5,OT,7,7
160219,18799,6,OT2,11,7
160220,18803,1,1,19,21
160221,18803,2,2,31,32
160222,18803,3,3,30,23
160223,18803,4,4,32,32
160224,18801,1,1,32,28
160225,18802,1,1,36,27
160226,18801,2,2,27,22
160227,18801,3,3,33,33
160228,18801,4,4,24,27
160229,18802,2,2,19,31
160230,18802,3,3,29,31
160231,18802,4,4,29,22
160232,18804,1,1,33,28
160233,18804,2,2,41,32
160234,18804,3,3,40,29
160235,18804,4,4,30,24
160236,18805,1,1,33,31
160237,18805,2,2,39,27
160238,18805,3,3,19,32
160239,18805,4,4,33,20
160240,18806,1,1,25,35
160241,18806,2,2,24,29
160242,18806,3,3,26,28
160243,18806,4,4,41,29
160244,18807,1,1,27,36
160245,18807,2,2,29,25
160246,18807,3,3,27,27
160247,18807,4,4,25,24
160248,18809,1,1,32,36
160249,18809,2,2,34,33
160250,18809,3,3,26,43
160251,18809,4,4,22,27
160252,18808,1,1,32,34
160253,18808,2,2,25,24
160254,18808,3,3,29,23
160255,18808,4,4,29,22
160256,18810,1,1,20,28
160257,18810,2,2,25,25
160258,18810,3,3,26,24
160259,18810,4,4,24,34
160260,18812,1,1,31,34
160261,18812,2,2,31,32
160262,18812,3,3,33,19
160263,18812,4,4,27,21
160264,18811,1,1,36,28
160265,18811,2,2,32,24
160266,18811,3,3,29,27
160267,18811,4,4,33,33
160268,18813,1,1,34,25
160269,18813,2,2,35,32
160270,18813,3,3,27,22
160271,18813,4,4,18,24
160272,18814,1,1,25,27
160273,18814,2,2,29,22
160274,18814,3,3,26,28
160275,18814,4,4,22,33
160276,18815,1,1,41,24
160277,18815,2,2,25,32
160278,18815,3,3,22,29
160279,18815,4,4,30,32
160280,18816,1,1,30,31
160281,18816,2,2,26,40
160282,18816,3,3,34,35
160283,18816,4,4,29,30
160284,18817,1,1,39,22
160285,18817,2,2,23,33
160286,18817,3,3,28,25
160287,18817,4,4,27,24
160288,18818,1,1,30,31
160289,18818,2,2,33,31
160290,18818,3,3,27,29
160291,18818,4,4,10,30
160292,18819,1,1,20,35
160293,18819,2,2,42,24
160294,18819,3,3,24,33
160295,18819,4,4,32,40
160296,18820,1,1,28,24
160297,18820,2,2,20,26
160298,18820,3,3,27,30
160299,18820,4,4,37,22
160300,18821,1,1,33,32
160301,18821,2,2,30,32
160302,18821,3,3,39,26
160303,18821,4,4,30,29
